time_step,avg_weight_mean,avg_weight_std,avg_weight_min,avg_weight_max,num_strings_mean,num_strings_std,kept_norm_mean,kept_norm_std
28,1.8675512162220924,0.09574527768127002,1.5803876752025183,2.257263563383604,190.217,4.622543780214517,0.999999999999999,6.345342726820903e-15
29,1.9053640107372378,0.09659156823757782,1.6014687043190599,2.2761099556350044,191.662,4.039029091254507,0.9999999999999991,6.511119663429617e-15
30,1.94298661987632,0.09608995332336284,1.643799778085218,2.301124377318752,193.001,3.7117380026073925,0.999999999999999,6.430806228398552e-15
31,1.9793977645536975,0.09598088316210394,1.696845590421997,2.3259750394809617,194.242,3.5391292714451787,0.9999999999999991,6.521068620774042e-15
32,2.014670950051126,0.0964446004343663,1.7388362878627575,2.3664078586510264,195.321,3.38938917800832,0.999999999999999,6.421240511420794e-15
33,2.0500842834565294,0.0976321588103066,1.7643347567937953,2.4045103381184774,196.243,3.1742638516670323,0.999999999999999,6.4230196963624275e-15
34,2.0839777706698768,0.0972600357030133,1.7947789625826929,2.451961477799161,197.028,2.7787076132619517,0.999999999999999,6.419210256549037e-15
35,2.118048041921673,0.09752032541104691,1.834191226896315,2.499229708660766,197.737,2.2990935170192714,0.999999999999999,6.3684148198782334e-15
36,2.1504829222072823,0.09810862530825291,1.8799164232099448,2.5236242050065556,198.266,1.8738313691471704,0.9999999999999991,6.404538780575002e-15
37,2.1836189551615917,0.0980597354485597,1.927768351263284,2.572149535956889,198.717,1.3974659208725024,0.9999999999999991,6.353436899157723e-15
38,2.216629212139428,0.09891841202618952,1.9561654827980484,2.609394958490966,199.017,1.0994139347852478,0.9999999999999991,6.31495695709854e-15
39,2.249503920213591,0.09971394444152588,1.977485927397823,2.626180899724955,199.226,0.9005131870217088,0.9999999999999991,6.220651038904505e-15
40,2.2832665610978324,0.10036388433413915,2.006495685764511,2.6494011344586923,199.413,0.7172384540722803,0.9999999999999991,6.14128975693352e-15
41,2.316052946086226,0.10127620623678614,2.0235079015129576,2.687525236815595,199.58,0.6161168720299798,0.9999999999999991,6.106803924122446e-15
42,2.347555277202961,0.10228284886438219,2.040374174916894,2.71149790987733,199.696,0.5325260557005691,0.9999999999999992,6.08614905532928e-15
43,2.379385438055819,0.10373622460897733,2.080979341077316,2.7602284935798993,199.784,0.45093680266751535,0.9999999999999992,5.993177833457127e-15
44,2.4126313273758573,0.10645502677101396,2.121512192065774,2.777325502949619,199.862,0.35910444163224053,0.9999999999999992,5.904240783077531e-15
45,2.446102497057506,0.10858819626125026,2.1524395314178713,2.8158729996542102,199.911,0.3241589116467405,0.9999999999999992,5.813161046569821e-15
